Predicted,Observed
29.726903215489504,24.73
23.18815034531112,27.758333333333336
28.204123901049304,27.583333333333332
27.19101509223656,27.95
27.72420379334405,25.22083333333333
24.77486802773034,27.054166666666664
27.446053788686463,28.125
28.08024814017662,29.191666666666666
28.98477099005878,27.6875
27.202857348318005,26.541666666666668
26.448996511312664,25.59166666666667
25.722670510671836,25.291666666666668
25.586434331174644,23.712500000000002
23.89831687571001,24.46666666666667
25.010396466083517,24.816666666666666
25.081025547280273,23.795833333333334
23.85449247661314,24.40416666666667
24.711770859533495,23.504166666666666
23.54883740766169,22.2375
22.38764966485408,20.316666666666666
20.571012403653626,20.2625
20.870910746726242,21.412499999999998
21.95972666814645,21.666666666666668
21.83015464172411,22.920833333333334
23.07904261039975,23.6125
23.50211078154164,25.866666666666664
25.80350886718058,25.5625
24.992114637002373,27.229166666666668
26.988592402528106,28.704166666666666
28.286621351352903,27.366666666666664
26.620114636471392,28.95
28.774592901538288,29.254166666666666
28.826016617177565,30.204166666666666
29.896267487758735,29.308333333333334
28.811706510228102,28.75
28.506374488804003,27.9375
27.797188844982156,28.108333333333334
28.17712738529032,28.895833333333332
28.97508165614538,28.883333333333336
28.784412253447975,29.25
29.20261441964261,29.087500000000002
28.965962055967644,28.650000000000002
28.55883643198367,28.733333333333334
28.757290217162613,29.441666666666666
29.492828044892175,28.820833333333336
28.674705561743092,27.745833333333334
27.68424394956633,28.287499999999998
28.494667423269526,28.3625
28.417329749432525,28.291666666666668
28.313883891120774,28.266666666666666
28.296280073880645,28.295833333333334
28.32556730717197,28.900000000000002
28.957794117312844,28.691666666666666
28.600470149400515,28.854166666666668
28.836948265684388,28.599999999999998
28.537087524612637,28.245833333333334
28.224730667499948,28.854166666666668
28.94980318676441,29.620833333333334
29.623869351849248,30.179166666666664
30.06541172216187,29.52916666666667
29.284327873225592,30.2
30.188644321136955,29.670833333333334
29.492462699042044,30.075
30.070387532399902,29.849999999999998
29.75116177025839,29.3
29.23244101553857,28.979166666666668
29.015369552795057,29.741666666666664
29.88395940480619,29.454166666666666
29.392917619339475,28.808333333333334
28.7763210379834,28.525000000000002
28.610314891732813,28.45
28.56703055375686,27.929166666666664
27.99964665984023,25.90416666666667
25.92271339229254,23.491666666666664
23.713941047972735,24.09166666666667
24.8029206961176,23.787499999999998
24.174655663022556,22.066666666666666
22.26189793571902,22.037499999999998
22.514969831833465,22.541666666666668
22.944223379856354,22.65416666666667
22.859972097118597,22.8875
23.037370879202584,23.708333333333332
23.847188145179427,23.662499999999998
23.601022953556395,25.504166666666666
25.6240395255864,25.337500000000002
25.061017727118017,24.46666666666667
24.215991679365967,24.358333333333334
24.327133218182368,22.77916666666667
22.65549806226881,23.233333333333334
23.4786211099395,21.895833333333332
21.896459859400565,23.02916666666667
23.364410493907283,22.1875
22.17553154199668,22.370833333333334
22.529308572590864,23.066666666666666
23.203754665996083,23.041666666666668
23.017682752519587,22.3875
22.32803888328245,22.508333333333336
22.591515723170634,22.929166666666664
22.999925916379908,23.270833333333332
23.27126654947988,24.558333333333334
24.585082108472733,24.27916666666667
24.042610684427547,23.900000000000002
23.741974301337798,23.520833333333332
23.442402398533826,23.516666666666666
23.525772888491275,22.891666666666666
22.85649420640799,24.420833333333334
24.611721502814213,24.566666666666666
24.443002839593426,24.53333333333333
24.40865895547261,23.791666666666668
23.65150405409588,23.045833333333334
23.023597179555548,23.016666666666666
23.13542152683827,23.27916666666667
23.394381286759007,23.125
23.155204723772876,21.920833333333334
21.891124052070786,20.441666666666666
20.535660664590623,21.016666666666666
21.407273425890843,22.420833333333334
